pais	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Argentina	62,5	57,71	61,19	56,22	61,19	59,62	59,13	58,17	58,65	58,17	56,4	58,29	58,22	57,28	56,81	59,11	60,1	63,55	64,53	65,22	65,22	65,7
Bolivia	56,5	59,7	54,23	53,23	45,27	43,75	44,23	49,52	47,6	48,08	48,82	47,39	46,48	45,54	46,48	48,28	46,8	45,32	45,32	43	41,55	43,48
Brasil	57,5	58,71	58,21	62,69	62,19	60,58	63,94	61,06	63,94	63,94	62,56	65,88	63,38	62,91	60,56	62,07	62,07	62,07	61,08	58,94	56,52	56,52
Chile	69,5	65,67	74,13	80,1	82,09	88,94	89,42	86,06	85,1	80,29	79,15	82,94	82,63	83,1	84,51	80,79	79,31	77,83	79,8	81,64	79,71	81,16
Colombia	35	40,3	34,83	37,81	36,32	38,94	38,46	40,87	42,31	42,79	42,65	42,65	46,95	46,01	45,54	47,78	47,78	49,75	49,26	52,17	53,62	52,66
Costa Rica	81,5	84,58	82,59	83,58	76,62	80,77	72,6	75,48	75	76,92	77,73	80,57	81,22	83,57	83,1	85,22	86,21	84,73	84,73	83,57	83,57	87,44
Cuba	10,5	5,97	4,98	4,48	1,99	2,88	2,88	2,88	3,37	3,85	4,27	6,16	6,1	6,57	6,57	6,4	6,4	6,9	7,39	9,66	8,7	11,11
R. Dominicana	53	52,24	56,22	55,22	48,26	50,96	48,56	53,85	54,33	52,88	51,66	51,18	52,58	55,4	53,99	54,19	52,22	52,71	52,71	50,24	53,14	55,07
Ecuador	51,5	53,73	43,78	47,26	43,78	40,87	36,54	37,98	43,27	40,38	39,34	38,86	37,09	38,5	40,38	39,9	39,41	38,42	40,89	46,38	47,83	46,38
Honduras	43	48,26	49,25	44,28	42,79	37,98	37,98	42,31	40,38	37,5	30,33	31,75	31,92	33,33	31,46	33,99	31,53	32,51	32,51	30,92	30,43	30,92
México	50,5	50,25	57,21	58,71	60,7	58,65	57,69	51,92	52,4	51,92	55,45	54,98	53,05	53,99	53,05	48,77	44,33	43,84	42,86	45,41	45,89	44,93
Nicaragua	52,5	52,74	47,76	46,77	53,23	48,08	40,87	40,38	39,42	34,62	34,12	33,18	29,58	30,52	33,8	34,48	32,51	28,08	27,09	18,36	18,84	18,84
Panamá	55	63,68	66,17	67,16	63,68	64,9	62,98	66,35	66,83	66,83	67,3	64,93	64,79	62,44	61,03	63,55	66,01	64,53	64,04	66,18	65,7	63,77
Perú	34,5	31,34	36,82	54,73	51,24	45,67	50	50,96	51,44	52,4	51,18	52,61	53,52	54,46	52,11	54,68	54,68	55,17	55,17	54,11	55,56	54,59
Paraguay	46	42,29	31,84	35,82	37,81	34,13	35,58	37,5	42,79	44,71	43,6	45,97	46,01	44,6	44,6	45,32	44,83	44,33	44,33	48,31	48,79	50,72
El Salvador	47,5	49,75	51,24	52,74	52,24	50	48,08	51,44	50,48	50,96	49,76	50,71	50,7	46,95	47,42	51,23	51,72	53,2	52,22	47,83	50,72	47,83
Uruguay	72,5	75,62	77,61	79,1	78,11	75,96	73,56	81,25	81,73	82,69	85,78	87,2	85,45	81,69	83,57	83,25	85,71	86,7	86,7	88,41	88,89	93,72
Venezuela	48	54,23	49,75	35,32	35,82	29,33	27,88	30,29	26,44	26,44	24,64	24,17	20,66	22,07	22,07	19,7	19,7	17,24	14,29	10,14	10,14	7,25
