pais	nivelidh	nivelidhdes	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Argentina	muy alto	alto	60,11	67,88	57,44	47,45	58,16	55,17	50,98	55,12	53,4	50,49	45,93	48,8	49,76	46,45	45,97	46,63	50	60,58	59,13	54,81	49,04	43,27
Bolivia	alto	medio	49,73	54,92	43,59	46,43	45,41	33,5	29,41	27,8	32,04	31,55	33,49	37,8	39,81	43,13	43,13	28,85	29,33	33,17	38,46	39,9	24,52	30,77
Brasil	alto	medio	50,82	54,4	61,03	59,69	63,27	58,13	52,94	43,9	48,06	52,43	51,67	54,07	50,71	49,76	50,71	47,6	48,08	46,63	43,27	36,54	43,27	36,54
Chile	muy alto	alto	86,89	85,49	84,62	84,69	86,22	84,73	85,29	82,44	87,38	84,47	85,17	86,6	85,31	86,26	86,73	84,13	83,17	79,33	80,29	81,73	81,25	80,77
Colombia	alto	medio	36,61	48,19	44,62	40,31	52,04	51,23	49,51	50,24	52,43	54,37	48,8	51,67	56,4	57,35	57,35	49,52	51,92	53,37	50,96	50	55,77	55,29
Costa Rica	muy alto	medio	66,67	65,8	64,62	65,31	65,31	65,02	59,31	56,1	60,68	64,08	64,59	64,59	64,45	68,72	67,77	68,75	66,83	67,31	66,35	67,79	67,31	64,9
Cuba	alto	NA	19,67	35,23	43,08	33,67	45,92	39,9	36,27	48,29	49,51	42,72	44,02	43,06	43,13	42,18	39,81	52,88	53,85	49,52	46,15	42,79	44,23	45,19
R. Dominicana	alto	medio	46,99	32,12	45,13	42,35	34,69	26,11	35,29	34,15	28,16	32,04	33,01	31,1	32,7	37,44	38,39	37,5	41,35	43,27	38,94	39,42	38,94	40,38
Ecuador	alto	medio	35,52	33,16	22,56	20,41	19,39	16,75	16,67	15,61	18,93	19,9	23,92	27,75	33,65	37,91	36,02	35,58	38,46	37,5	37,02	41,83	37,02	37,02
Honduras	medio	bajo	22,4	31,09	34,36	31,63	29,08	30,05	30,39	30,73	33,5	32,52	28,23	31,58	37,44	27,49	25,59	21,15	20,19	23,08	34,13	27,88	30,29	29,81
México	alto	medio	62,3	66,84	63,59	64,29	63,78	62,07	57,35	58,05	58,74	60,68	60,29	60,29	63,51	63,51	63,03	61,54	62,02	58,65	55,29	47,6	45,67	46,15
Nicaragua	medio	bajo	33,88	25,91	29,23	26,02	27,55	24,14	23,04	20,98	16,5	16,99	16,75	16,75	18,48	20,85	23,22	19,23	20,67	24,52	28,37	19,23	21,63	24,04
Panamá	muy alto	medio	61,75	68,39	64,1	59,18	57,65	54,68	57,84	56,59	58,25	58,25	59,33	59,81	58,29	63,03	62,56	62,98	65,38	61,54	53,85	51,44	55,29	56,73
Perú	alto	medio	57,38	61,14	54,87	44,9	40,31	37,44	33,82	28,78	35,44	44,66	41,63	47,85	48,34	49,29	49,76	44,23	44,23	45,67	48,08	43,75	49,52	42,31
Paraguay	alto	medio	19,13	12,44	9,74	11,22	17,35	14,78	25	18,05	19,42	17,48	19,14	18,66	20,38	21,33	21,33	17,31	17,31	20,67	20,19	34,62	33,17	35,1
El Salvador	medio	bajo	24,04	34,72	33,33	36,73	44,39	46,8	41,67	51,71	49,03	49,51	53,59	56,46	52,13	50,24	49,29	54,33	45,67	42,31	39,9	37,02	35,58	38,46
Uruguay	muy alto	alto	71,04	71,5	69,23	73,98	69,9	67	69,12	66,34	70,87	67,96	70,33	70,81	69,67	66,35	67,3	71,15	71,63	72,6	69,71	73,08	74,52	75
Venezuela	alto	bajo	34,43	21,76	24,62	12,24	15,31	10,34	18,14	14,15	14,56	11,65	14,83	11,96	9,95	12,8	12,32	11,06	10,58	8,17	7,69	4,81	4,33	2,4
