n	pais	idh	idhdesig
1		20	20
2	Chile	0,851	0,729
3	Argentina	0,845	0,712
4	Uruguay	0,817	0,709
5	Panamá	0,815	0,661
6	Costa Rica	0,810	0,643
7	México	0,779	0,628
8	Perú	0,777	0,616
9	Colombia	0,767	0,613
10	América Latina	0,760	0,610
11	Brasil	0,765	0,595
12	Ecuador	0,759	0,595
13	R. Dominicana	0,756	0,588
14	Paraguay	0,728	0,570
15	Bolivia	0,718	0,557
16	Venezuela	0,711	0,546
17	El Salvador	0,673	0,529
18	Guatemala	0,663	0,505
19	Nicaragua	0,660	0,481
20	Honduras	0,634	0,472
21	OCDE sin AL	0,912	0,834
