n	pais	idh	idhdesig
1		20	20
4	Chile	0,851	0,709
2	Argentina	0,845	0,729
3	Uruguay	0,817	0,712
6	Panamá	0,815	0,643
5	Costa Rica	0,81	0,661
7	Cuba	0,783	-20
10	México	0,779	0,613
8	Perú	0,777	0,628
12	Colombia	0,767	0,595
11	América Latina	0,766	0,596
15	Brasil	0,765	0,57
9	Ecuador	0,759	0,616
13	R. Dominicana	0,756	0,595
16	Paraguay	0,728	0,557
17	Bolivia	0,718	0,546
14	Venezuela	0,711	0,588
18	El Salvador	0,673	0,529
20	Guatemala	0,663	0,481
19	Nicaragua	0,66	0,505
21	Honduras	0,634	0,472
22	OCDE sin AL	0,912	0,834
