yr	percentil	América Latina	Mundo	Argentina	Australia	Austria	Bélgica	Bolivia	Brasil	Canadá	Chequia	Costa Rica	Colombia	Chile	Dinamarca	Ecuador	R. Dominicana	El Salvador	Estonia	Finlandia	Francia	Alemania	Grecia	Guatemala	Honduras	Hungría	Islandia	Irlanda	Israel	Italia	Japón	Corea del Sur	Letonia	Lituania	Luxemburgo	México	Países Bajos	Nueva Zelanda	Nicaragua	Noruega	Panamá	Paraguay	Perú	Polonia	Portugal	Eslovenia	Eslovaquia	España	Suecia	Suiza	Turquía	Reino Unido	Uruguay	Estados Unidos	Venezuela
1980	p90p100	0.5766	0.5208	0.4525	0.2445	0.3285	0.3223	0.5384	0.5989	0.3694	0.182	0.5148	0.5664	0.6036	0.26	0.5401	0.5384	0.5057	0.2335	0.2707	0.3162	0.286	0.3621	0.5384	0.5384	0.1817	0.2979	0.3107	0.4943	0.2458	0.3649	0.3276	0.2227	0.2481	0.3528	0.5566	0.2625	0.2911	0.5384	0.2723	0.5384	0.5384	0.5419	0.2247	0.2874	0.2251	0.23	0.3491	0.2563	0.3124	0.6028	0.2903	0.4803	0.3385	0.5384
1981	p90p100	0.5786	0.5211	0.4525	0.2436	0.3272	0.3187	0.5384	0.5989	0.3568	0.181	0.5148	0.5664	0.6036	0.2577	0.5401	0.5384	0.5057	0.2335	0.2617	0.3062	0.2814	0.374	0.5384	0.5384	0.1802	0.2979	0.3071	0.4938	0.2362	0.3602	0.3245	0.2227	0.2481	0.3528	0.5566	0.2627	0.2904	0.5384	0.2672	0.5384	0.5384	0.5419	0.2247	0.2775	0.2251	0.2258	0.3467	0.2555	0.3123	0.6028	0.2903	0.4803	0.3432	0.5384
1982	p90p100	0.5802	0.5161	0.4525	0.2482	0.3293	0.3155	0.5384	0.5989	0.3526	0.1809	0.5148	0.5664	0.6036	0.257	0.5402	0.5384	0.5057	0.2335	0.2569	0.2993	0.2802	0.3648	0.5384	0.5384	0.1788	0.2979	0.3163	0.4933	0.2335	0.3593	0.3304	0.2227	0.2481	0.3528	0.5566	0.264	0.2952	0.5384	0.2629	0.5384	0.5384	0.5419	0.2247	0.306	0.2251	0.2266	0.3485	0.2657	0.3146	0.6028	0.2908	0.4803	0.3461	0.5384
1983	p90p100	0.5787	0.5182	0.4525	0.2438	0.3342	0.3153	0.5384	0.5989	0.3598	0.1804	0.5148	0.5664	0.6036	0.27	0.5402	0.5384	0.5057	0.2335	0.2589	0.3061	0.2846	0.3557	0.5384	0.5384	0.1728	0.2979	0.3204	0.4928	0.2328	0.3612	0.3397	0.2227	0.2481	0.3528	0.5566	0.2691	0.3095	0.5384	0.2592	0.5384	0.5384	0.5419	0.2247	0.316	0.2251	0.2252	0.3483	0.2696	0.3172	0.6028	0.2957	0.4803	0.3534	0.5384
1984	p90p100	0.5787	0.5213	0.4525	0.2482	0.3337	0.3128	0.5384	0.5989	0.3547	0.1798	0.5148	0.5664	0.6036	0.2768	0.5401	0.5384	0.5057	0.2335	0.2663	0.3091	0.2853	0.3493	0.5384	0.5384	0.1665	0.2979	0.3111	0.4923	0.2377	0.3649	0.3388	0.2227	0.2481	0.3528	0.5566	0.271	0.3025	0.5384	0.2653	0.5384	0.5384	0.5419	0.2316	0.316	0.2251	0.2241	0.35	0.2823	0.3188	0.6028	0.3017	0.4803	0.3649	0.5384
1985	p90p100	0.5806	0.5232	0.4525	0.2531	0.3322	0.3228	0.5384	0.5989	0.352	0.1792	0.5148	0.5664	0.6036	0.2823	0.5401	0.5384	0.5057	0.2336	0.2629	0.3149	0.2874	0.3545	0.5384	0.5384	0.1685	0.2979	0.3093	0.4918	0.2428	0.3714	0.3318	0.2227	0.2481	0.3528	0.5566	0.2703	0.2907	0.5384	0.2678	0.5384	0.5384	0.5419	0.2275	0.3207	0.2251	0.2236	0.3519	0.2805	0.3202	0.6028	0.3027	0.4803	0.3658	0.5384
1986	p90p100	0.5841	0.5261	0.4525	0.2605	0.3325	0.3333	0.5384	0.5989	0.3489	0.1812	0.5148	0.5664	0.6036	0.2709	0.5401	0.5384	0.5057	0.2336	0.2594	0.3246	0.2933	0.3353	0.5384	0.5384	0.1708	0.2979	0.3079	0.4912	0.2552	0.3795	0.3328	0.2227	0.2481	0.3539	0.5566	0.2707	0.2789	0.5384	0.2391	0.5384	0.5384	0.5419	0.2272	0.3369	0.2251	0.2259	0.3636	0.2794	0.3203	0.6028	0.3051	0.4803	0.3634	0.5384
1987	p90p100	0.5837	0.5295	0.4525	0.2778	0.3355	0.3381	0.5384	0.5989	0.3537	0.182	0.5148	0.5664	0.6036	0.2724	0.5401	0.5384	0.5057	0.2336	0.2723	0.3296	0.3011	0.3363	0.5384	0.5384	0.1804	0.2979	0.3093	0.4931	0.2592	0.3981	0.3382	0.2227	0.2481	0.3568	0.5566	0.2701	0.2763	0.5384	0.2366	0.5384	0.5384	0.5419	0.222	0.3335	0.2251	0.2159	0.3643	0.2796	0.32	0.6028	0.3078	0.4803	0.3746	0.5384
1988	p90p100	0.5796	0.5339	0.4525	0.2948	0.3349	0.3381	0.5384	0.5989	0.3581	0.1835	0.5148	0.5664	0.6036	0.2683	0.5401	0.5384	0.5057	0.2336	0.2747	0.3348	0.3156	0.3298	0.5384	0.5384	0.1908	0.2979	0.3057	0.4948	0.2681	0.4043	0.3412	0.2227	0.2481	0.3584	0.5566	0.2704	0.2821	0.5384	0.229	0.5384	0.5384	0.5419	0.2189	0.3351	0.2251	0.2147	0.3672	0.2865	0.3167	0.5956	0.314	0.4803	0.3925	0.5384
1989	p90p100	0.5829	0.5371	0.4525	0.2736	0.3357	0.3349	0.5384	0.5989	0.3672	0.1966	0.5148	0.5664	0.6036	0.2712	0.5402	0.5384	0.5057	0.2675	0.2649	0.3366	0.3243	0.3244	0.5384	0.5384	0.2081	0.2979	0.3074	0.4964	0.2709	0.4125	0.3404	0.2298	0.2673	0.361	0.5566	0.2703	0.3045	0.5384	0.2308	0.5384	0.5384	0.5419	0.2317	0.3479	0.2251	0.2134	0.3745	0.2788	0.3134	0.5884	0.3096	0.4803	0.3879	0.5384
