pais	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Argentina	66,85	69,43	63,59	19,39	24,49	23,65	31,86	26,47	25,73	23,3	22,49	23,92	25,59	20,85	18,01	12,5	17,31	33,65	41,83	41,35	34,13	31,73
Bolivia	54,35	59,59	55,9	52,55	52,55	47,78	25,49	19,61	16,99	18,93	21,05	23,44	24,17	22,75	24,17	20,67	19,23	17,31	16,35	15,38	12,5	12,02
Brasil	63,04	65,8	65,13	62,24	63,78	55,17	55,39	53,92	53,4	54,37	54,55	55,02	55,92	55,45	54,5	51,44	48,08	46,63	47,6	39,42	48,08	46,15
Chile	94,02	91,19	90,77	89,29	90,82	88,67	89,22	92,16	92,23	92,72	92,34	91,39	91,47	92,42	91,94	91,83	88,94	89,9	88,94	87,98	84,13	81,73
Colombia	51,09	53,89	57,95	55,61	52,04	52,71	53,92	55,39	58,25	59,71	55,98	58,85	61,61	64,45	63,98	67,79	68,75	67,31	66,35	64,42	66,35	63,46
Costa Rica	69,02	74,61	70,77	65,82	68,37	67	66,67	63,24	64,56	64,08	65,07	66,51	66,35	70,62	69,67	68,27	69,71	67,79	66,83	68,75	68,75	66,35
Cuba	13,59	8,81	10,77	8,67	6,12	4,93	9,8	6,86	4,37	3,88	3,83	3,35	3,32	3,79	3,79	7,69	7,69	6,73	7,21	6,25	5,77	6,25
R. Dominicana	45,65	45,08	45,13	45,92	43,88	38,92	42,16	47,06	47,57	48,54	47,37	48,8	46,45	48,82	51,18	51,92	52,88	53,37	52,4	52,88	52,4	51,44
Ecuador	40,76	47,15	28,72	25,51	25	23,15	22,55	13,73	12,62	14,08	6,22	10,05	15,64	17,06	19,91	15,87	11,54	12,98	12,02	16,83	19,71	17,31
Honduras	24,46	48,7	37,95	38,78	33,67	41,87	27,45	34,8	44,17	45,15	43,54	45,45	48,82	45,97	46,92	37,5	38,94	30,77	35,1	35,58	33,65	34,13
México	59,78	60,62	62,56	66,84	65,82	65,52	58,33	62,75	63,59	62,62	57,89	58,37	58,29	67,77	67,3	66,83	64,9	64,42	63,94	61,06	59,62	54,81
Nicaragua	30,98	54,4	46,67	40,31	40,82	44,83	38,24	37,25	34,95	38,35	37,32	42,11	41,71	42,65	43,6	37,98	39,42	32,21	27,4	24,52	25	26,92
Panamá	70,11	79,27	71,28	67,35	65,31	63,55	57,84	60,78	62,62	68,93	62,68	63,16	64,45	62,56	63,03	65,38	64,42	66,35	67,31	65,87	64,9	63,94
Perú	65,76	71,5	67,18	54,59	58,67	62,07	54,9	56,86	60,19	63,11	63,64	65,07	66,82	68,25	66,35	68,75	69,23	69,71	68,27	69,23	71,63	70,19
Paraguay	29,35	23,83	18,97	31,12	21,94	22,66	21,08	23,53	29,13	33,5	35,89	40,19	38,39	41,71	42,65	43,27	44,71	42,31	41,35	52,4	46,63	43,27
El Salvador	46,74	62,18	58,97	55,1	50	57,14	49,02	54,9	57,77	57,28	62,2	61,72	67,3	59,72	61,14	63,46	59,62	57,21	54,33	57,21	56,25	50,96
Uruguay	75	76,68	74,36	68,37	64,29	64,04	62,75	62,25	59,71	58,74	63,16	63,64	64,93	65,88	68,72	69,23	67,31	69,23	70,67	69,71	69,71	72,6
Venezuela	40,22	39,38	29,74	27,04	16,84	13,3	14,22	11,76	5,83	5,34	4,31	3,83	6,16	4,74	2,84	2,88	2,4	2,4	2,4	0	0,48	1,44
