pais	region	nivelidhdes	pr1995	cl1995	st1995	pr1996	cl1996	st1996	pr1997	cl1997	st1997	pr1998	cl1998	st1998	pr1999	cl1999	st1999	pr2000	cl2000	st2000	pr2001	cl2001	st2001	pr2002	cl2002	st2002	pr2003	cl2003	st2003	pr2004	cl2004	st2004	pr2005	cl2005	st2005	pr2006	cl2006	st2006	pr2007	cl2007	st2007	pr2008	cl2008	st2008	pr2009	cl2009	st2009	pr2010	cl2010	st2010	pr2011	cl2011	st2011	pr2012	cl2012	st2012	pr2013	cl2013	st2013	pr2014	cl2014	st2014	pr2015	cl2015	st2015	pr2016	cl2016	st2016	pr2017	cl2017	st2017	pr2018	cl2018	st2018	pr2019	cl2019	st2019	pr2020	cl2020	st2020	pr2021	cl2021	st2021
Argentina	al	alto	2	3	F	2	3	F	2	3	F	3	3	F	2	3	F	1	2	F	3	3	PF	3	3	PF	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F
Australia	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Austria	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Bélgica	oecd		1	1	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Bolivia	al	medio	2	4	PF	2	3	F	1	3	F	1	3	F	1	3	F	1	3	F	1	3	F	2	3	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF
Brasil	al	medio	2	4	PF	2	4	PF	3	4	PF	3	4	PF	3	4	PF	3	3	PF	3	3	PF	2	3	F	2	3	F	2	3	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	3	F	2	3	F
Canadá	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Chile	al	alto	2	2	F	2	2	F	2	2	F	3	2	F	2	2	F	2	2	F	2	2	F	2	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	2	F	1	1	F	1	1	F
Colombia	al	medio	4	4	PF	4	4	PF	4	4	PF	3	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	3	3	PF	3	3	PF	3	3	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF
Costa Rica	al	medio	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Cuba	al		7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	7	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF	7	6	NF
Chequia	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Dinamarca	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
R. Dominicana	al	medio	4	3	PF	3	3	PF	3	3	PF	2	3	F	2	3	F	2	2	F	2	2	F	2	2	F	3	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	3	F	2	3	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF
Ecuador	al	medio	2	3	F	2	4	PF	3	3	PF	2	3	F	2	3	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	4	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	2	3	F
El Salvador	al	bajo	3	3	PF	3	3	PF	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	3	F	2	4	PF	2	4	PF	3	4	PF
Estonia	oecd		2	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Finlandia	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Francia	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F
Alemania	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Grecia	oecd		1	3	F	1	3	F	1	3	F	1	3	F	1	3	F	1	3	F	1	3	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	1	2	F	1	2	F	1	2	F	1	2	F
Guatemala	al		4	5	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	3	4	PF	3	4	PF	3	4	PF	4	4	PF	4	4	PF	3	4	PF	3	4	PF	3	4	PF	3	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF
Honduras	al	bajo	3	3	PF	3	3	PF	2	3	F	2	3	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	4	PF	4	5	PF	4	4	PF
Hungría	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	2	F	1	2	F	1	2	F	2	2	F	2	2	F	3	2	F	3	2	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF
Islandia	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Irlanda	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Israel	oecd		1	3	F	1	3	F	1	3	F	1	3	F	1	2	F	1	3	F	1	3	F	1	3	F	1	3	F	1	3	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	3	F	2	3	F	2	3	F	2	3	F	2	3	F
Italia	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	2	F	1	2	F	1	2	F	1	1	F	2	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Japón	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
Letonia	oecd		2	2	F	2	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	1	F	1	1	F	2	1	F	2	1	F	2	1	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	2	2	F	1	2	F	2	2	F	2	2	F	1	2	F	1	2	F	1	2	F
Lituania	oecd		1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	1	2	F	2	2	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	2	F	1	2	F
Luxemburgo	oecd		1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F	1	1	F
México	al	medio	4	4	PF	4	3	PF	3	4	PF	3	4	PF	3	4	PF	2	3	F	2	3	F	2	2	F	2	2	F	2	2	F	2	2	F	2	3	F	2	3	F	2	3	F	2	3	F	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	3	PF	3	4	PF	3	4	PF
